therapy,region,forecast_origin_month,forecast_origin_month_index,horizon_months,target_month,target_month_index,target_market_regime,target_supply_constrained,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,horizon_months,calendar_month,target_observed_sales_units
Therapy A,East,2015-03-01,15,12,2016-03-01,27,b_launch_growth,0,0.55,140.42430304611506,42.127290913834514,0.5,12,3,204.0984447958548
Therapy A,East,2015-04-01,16,1,2015-05-01,17,early_market_before_b_launch,0,0.55,139.84187089428167,41.9525612682845,0.0,1,4,167.31685950699375
Therapy A,East,2015-04-01,16,3,2015-07-01,19,b_launch_growth,0,0.55,139.95816374488138,41.98744912346441,0.5,3,4,179.274489416976
Therapy A,East,2015-04-01,16,6,2015-10-01,22,b_launch_growth,0,0.55,140.1327843760849,42.039835312825474,0.5,6,4,191.93171501251024
Therapy A,East,2015-04-01,16,12,2016-04-01,28,b_launch_growth,0,0.55,140.48267951345207,42.14480385403562,0.5,12,4,205.2181874662504
Therapy A,East,2015-05-01,17,1,2015-06-01,18,early_market_before_b_launch,0,0.55,139.90000523592707,41.97000157077812,0.0,1,5,174.2515161330392
Therapy A,East,2015-05-01,17,3,2015-08-01,20,b_launch_growth,0,0.55,140.01634643119112,42.00490392935733,0.5,3,5,183.9136307760991
Therapy A,East,2015-05-01,17,6,2015-11-01,23,b_launch_growth,0,0.55,140.19103965478328,42.05731189643498,0.5,6,5,195.27390221813087
Therapy A,East,2015-05-01,17,12,2016-05-01,29,b_launch_growth,0,0.55,140.54108024875313,42.162324074625936,0.5,12,5,205.9464914745064
Therapy A,East,2015-06-01,18,1,2015-07-01,19,b_launch_growth,0,0.55,139.95816374488138,41.98744912346441,0.5,1,6,179.274489416976
Therapy A,East,2015-06-01,18,3,2015-09-01,21,b_launch_growth,0,0.55,140.07455330490728,42.022365991472185,0.5,3,6,188.14000089519504
Therapy A,East,2015-06-01,18,6,2015-12-01,24,b_launch_growth,0,0.55,140.24931915106575,42.074795745319726,0.5,6,6,198.158756803582
Therapy A,East,2015-06-01,18,12,2016-06-01,30,b_launch_growth,0,0.55,140.59950526210673,42.17985157863202,0.5,12,6,206.3147304574285
Therapy A,East,2015-07-01,19,1,2015-08-01,20,b_launch_growth,0,0.55,140.01634643119112,42.00490392935733,0.5,1,7,183.9136307760991
Therapy A,East,2015-07-01,19,3,2015-10-01,22,b_launch_growth,0,0.55,140.1327843760849,42.039835312825474,0.5,3,7,191.93171501251024
Therapy A,East,2015-07-01,19,6,2016-01-01,25,b_launch_growth,0,0.55,140.307622875,42.0922868625,0.5,6,7,200.58561902943484
Therapy A,East,2015-07-01,19,12,2016-07-01,31,b_launch_growth,0,0.55,140.65795456360576,42.19738636908173,0.5,12,7,206.35821972584532
Therapy A,East,2015-08-01,20,1,2015-09-01,21,b_launch_growth,0,0.55,140.07455330490728,42.022365991472185,0.5,1,8,188.14000089519504
Therapy A,East,2015-08-01,20,3,2015-11-01,23,b_launch_growth,0,0.55,140.19103965478328,42.05731189643498,0.5,3,8,195.27390221813087
Therapy A,East,2015-08-01,20,6,2016-02-01,26,b_launch_growth,0,0.55,140.36595083665773,42.10978525099732,0.5,6,8,202.560998346974
Therapy A,East,2015-08-01,20,12,2016-08-01,32,b_launch_growth,0,0.55,140.71642816334705,42.21492844900411,0.5,12,8,206.1148946140556
Therapy A,East,2015-09-01,21,1,2015-10-01,22,b_launch_growth,0,0.55,140.1327843760849,42.039835312825474,0.5,1,9,191.93171501251024
Therapy A,East,2015-09-01,21,3,2015-12-01,24,b_launch_growth,0,0.55,140.24931915106575,42.074795745319726,0.5,3,9,198.158756803582
Therapy A,East,2015-09-01,21,6,2016-03-01,27,b_launch_growth,0,0.55,140.42430304611506,42.127290913834514,0.5,6,9,204.0984447958548
Therapy A,East,2015-09-01,21,12,2016-09-01,33,b_launch_growth,0,0.55,140.77492607143176,42.232477821429526,0.5,12,9,205.6239406491352
Therapy A,East,2015-10-01,22,1,2015-11-01,23,b_launch_growth,0,0.55,140.19103965478328,42.05731189643498,0.5,1,10,195.27390221813087
Therapy A,East,2015-10-01,22,3,2016-01-01,25,b_launch_growth,0,0.55,140.307622875,42.0922868625,0.5,3,10,200.58561902943484
Therapy A,East,2015-10-01,22,6,2016-04-01,28,b_launch_growth,0,0.55,140.48267951345207,42.14480385403562,0.5,6,10,205.2181874662504
Therapy A,East,2015-10-01,22,12,2016-10-01,34,b_launch_growth,0,0.55,140.83344829796533,42.2500344893896,0.5,12,10,204.92448366691076
Therapy A,East,2015-11-01,23,1,2015-12-01,24,b_launch_growth,0,0.55,140.24931915106575,42.074795745319726,0.5,1,11,198.158756803582
Therapy A,East,2015-11-01,23,3,2016-02-01,26,b_launch_growth,0,0.55,140.36595083665773,42.10978525099732,0.5,3,11,202.560998346974
Therapy A,East,2015-11-01,23,6,2016-05-01,29,b_launch_growth,0,0.55,140.54108024875313,42.162324074625936,0.5,6,11,205.9464914745064
Therapy A,East,2015-11-01,23,12,2016-11-01,35,b_launch_growth,0,0.55,140.89199485305718,42.26759845591715,0.5,12,11,204.05443132645095
Therapy A,East,2015-12-01,24,1,2016-01-01,25,b_launch_growth,0,0.55,140.307622875,42.0922868625,0.5,1,12,200.58561902943484
Therapy A,East,2015-12-01,24,3,2016-03-01,27,b_launch_growth,0,0.55,140.42430304611506,42.127290913834514,0.5,3,12,204.0984447958548
Therapy A,East,2015-12-01,24,6,2016-06-01,30,b_launch_growth,0,0.55,140.59950526210673,42.17985157863202,0.5,6,12,206.3147304574285
Therapy A,East,2015-12-01,24,12,2016-12-01,36,b_launch_growth,0,0.55,140.95056574682107,42.28516972404632,0.5,12,12,203.04952905318288
Therapy A,East,2016-01-01,25,1,2016-02-01,26,b_launch_growth,0,0.55,140.36595083665773,42.10978525099732,0.5,1,1,202.560998346974
Therapy A,East,2016-01-01,25,3,2016-04-01,28,b_launch_growth,0,0.55,140.48267951345207,42.14480385403562,0.5,3,1,205.2181874662504
Therapy A,East,2016-01-01,25,6,2016-07-01,31,b_launch_growth,0,0.55,140.65795456360576,42.19738636908173,0.5,6,1,206.35821972584532
Therapy A,East,2016-01-01,25,12,2017-01-01,37,b_launch_growth,0,0.55,141.00916098937498,42.30274829681249,0.5,12,1,201.9426610583358
Therapy A,East,2016-02-01,26,1,2016-03-01,27,b_launch_growth,0,0.55,140.42430304611506,42.127290913834514,0.5,1,2,204.0984447958548
Therapy A,East,2016-02-01,26,3,2016-05-01,29,b_launch_growth,0,0.55,140.54108024875313,42.162324074625936,0.5,3,2,205.9464914745064
Therapy A,East,2016-02-01,26,6,2016-08-01,32,b_launch_growth,0,0.55,140.71642816334705,42.21492844900411,0.5,6,2,206.1148946140556
Therapy A,East,2016-02-01,26,12,2017-02-01,38,b_launch_growth,0,0.55,141.067780590841,42.3203341772523,0.5,12,2,200.7633974491796
Therapy A,East,2016-03-01,27,1,2016-04-01,28,b_launch_growth,0,0.55,140.48267951345207,42.14480385403562,0.5,1,3,205.2181874662504
Therapy A,East,2016-03-01,27,3,2016-06-01,30,b_launch_growth,0,0.55,140.59950526210673,42.17985157863202,0.5,3,3,206.3147304574285
Therapy A,East,2016-03-01,27,6,2016-09-01,33,b_launch_growth,0,0.55,140.77492607143176,42.232477821429526,0.5,6,3,205.6239406491352
Therapy A,East,2016-03-01,27,12,2017-03-01,39,b_launch_growth,0,0.55,141.1264245613456,42.33792736840368,0.5,12,3,199.53776580131088
Therapy A,East,2016-04-01,28,1,2016-05-01,29,b_launch_growth,0,0.55,140.54108024875313,42.162324074625936,0.5,1,4,205.9464914745064
Therapy A,East,2016-04-01,28,3,2016-07-01,31,b_launch_growth,0,0.55,140.65795456360576,42.19738636908173,0.5,3,4,206.35821972584532
Therapy A,East,2016-04-01,28,6,2016-10-01,34,b_launch_growth,0,0.55,140.83344829796533,42.2500344893896,0.5,6,4,204.92448366691076
Therapy A,East,2016-04-01,28,12,2017-04-01,40,b_launch_growth,0,0.55,141.1850929110193,42.35552787330579,0.5,12,4,198.2882114587252
Therapy A,East,2016-05-01,29,1,2016-06-01,30,b_launch_growth,0,0.55,140.59950526210673,42.17985157863202,0.5,1,5,206.3147304574285
Therapy A,East,2016-05-01,29,3,2016-08-01,32,b_launch_growth,0,0.55,140.71642816334705,42.21492844900411,0.5,3,5,206.1148946140556
Therapy A,East,2016-05-01,29,6,2016-11-01,35,b_launch_growth,0,0.55,140.89199485305718,42.26759845591715,0.5,6,5,204.05443132645095
Therapy A,East,2016-05-01,29,12,2017-05-01,41,b_launch_growth,0,0.55,141.24378564999685,42.37313569499906,0.5,12,5,197.03370470333
Therapy A,East,2016-06-01,30,1,2016-07-01,31,b_launch_growth,0,0.55,140.65795456360576,42.19738636908173,0.5,1,6,206.35821972584532
Therapy A,East,2016-06-01,30,3,2016-09-01,33,b_launch_growth,0,0.55,140.77492607143176,42.232477821429526,0.5,3,6,205.6239406491352
Therapy A,East,2016-06-01,30,6,2016-12-01,36,b_launch_growth,0,0.55,140.95056574682107,42.28516972404632,0.5,6,6,203.04952905318288
Therapy A,East,2016-06-01,30,12,2017-06-01,42,b_launch_growth,0,0.55,141.30250278841726,42.39075083652518,0.5,12,6,195.7899530348876
Therapy A,East,2016-07-01,31,1,2016-08-01,32,b_launch_growth,0,0.55,140.71642816334705,42.21492844900411,0.5,1,7,206.1148946140556
Therapy A,East,2016-07-01,31,3,2016-10-01,34,b_launch_growth,0,0.55,140.83344829796533,42.2500344893896,0.5,3,7,204.92448366691076
Therapy A,East,2016-07-01,31,6,2017-01-01,37,b_launch_growth,0,0.55,141.00916098937498,42.30274829681249,0.5,6,7,201.9426610583358
Therapy A,East,2016-07-01,31,12,2017-07-01,43,b_launch_growth,0,0.55,141.3612443364238,42.40837330092714,0.5,12,7,194.56968099043127
Therapy A,East,2016-08-01,32,1,2016-09-01,33,b_launch_growth,0,0.55,140.77492607143176,42.232477821429526,0.5,1,8,205.6239406491352
Therapy A,East,2016-08-01,32,3,2016-11-01,35,b_launch_growth,0,0.55,140.89199485305718,42.26759845591715,0.5,3,8,204.05443132645095
Therapy A,East,2016-08-01,32,6,2017-02-01,38,b_launch_growth,0,0.55,141.067780590841,42.3203341772523,0.5,6,8,200.7633974491796
Therapy A,East,2016-08-01,32,12,2017-08-01,44,b_launch_growth,0,0.55,141.42001030416375,42.42600309124912,0.5,12,8,193.38294625663613
Therapy A,East,2016-09-01,33,1,2016-10-01,34,b_launch_growth,0,0.55,140.83344829796533,42.2500344893896,0.5,1,9,204.92448366691076
Therapy A,East,2016-09-01,33,3,2016-12-01,36,b_launch_growth,0,0.55,140.95056574682107,42.28516972404632,0.5,3,9,203.04952905318288
Therapy A,East,2016-09-01,33,6,2017-03-01,39,b_launch_growth,0,0.55,141.1264245613456,42.33792736840368,0.5,6,9,199.53776580131088
Therapy A,East,2016-09-01,33,12,2017-09-01,45,b_launch_growth,0,0.55,141.47880070178897,42.44364021053669,0.5,12,9,192.23746779246235
Therapy A,East,2016-10-01,34,1,2016-11-01,35,b_launch_growth,0,0.55,140.89199485305718,42.26759845591715,0.5,1,10,204.05443132645095
Therapy A,East,2016-10-01,34,3,2017-01-01,37,b_launch_growth,0,0.55,141.00916098937498,42.30274829681249,0.5,3,10,201.9426610583358
Therapy A,East,2016-10-01,34,6,2017-04-01,40,b_launch_growth,0,0.55,141.1850929110193,42.35552787330579,0.5,6,10,198.2882114587252
Therapy A,East,2016-10-01,34,12,2017-10-01,46,b_launch_growth,0,0.55,141.53761553945515,42.46128466183655,0.5,12,10,191.1389482978075
Therapy A,East,2016-11-01,35,1,2016-12-01,36,b_launch_growth,0,0.55,140.95056574682107,42.28516972404632,0.5,1,11,203.04952905318288
Therapy A,East,2016-11-01,35,3,2017-02-01,38,b_launch_growth,0,0.55,141.067780590841,42.3203341772523,0.5,3,11,200.7633974491796
Therapy A,East,2016-11-01,35,6,2017-05-01,41,b_launch_growth,0,0.55,141.24378564999685,42.37313569499906,0.5,6,11,197.03370470333
Therapy A,East,2016-11-01,35,12,2017-11-01,47,b_launch_growth,0,0.55,141.59645482732242,42.47893644819673,0.5,12,11,190.09137909683247
Therapy A,East,2016-12-01,36,1,2017-01-01,37,b_launch_growth,0,0.55,141.00916098937498,42.30274829681249,0.5,1,12,201.9426610583358
Therapy A,East,2016-12-01,36,3,2017-03-01,39,b_launch_growth,0,0.55,141.1264245613456,42.33792736840368,0.5,3,12,199.53776580131088
Therapy A,East,2016-12-01,36,6,2017-06-01,42,b_launch_growth,0,0.55,141.30250278841726,42.39075083652518,0.5,6,12,195.7899530348876
Therapy A,East,2016-12-01,36,12,2017-12-01,48,b_launch_growth,0,0.55,141.65531857555513,42.496595572666536,0.5,12,12,189.0973201408933
Therapy A,East,2017-01-01,37,1,2017-02-01,38,b_launch_growth,0,0.55,141.067780590841,42.3203341772523,0.5,1,1,200.7633974491796
Therapy A,East,2017-01-01,37,3,2017-04-01,40,b_launch_growth,0,0.55,141.1850929110193,42.35552787330579,0.5,3,1,198.2882114587252
Therapy A,East,2017-01-01,37,6,2017-07-01,43,b_launch_growth,0,0.55,141.3612443364238,42.40837330092714,0.5,6,1,194.56968099043127
Therapy A,East,2017-01-01,37,12,2018-01-01,49,b_launch_growth,0,0.55,141.71420679432185,42.51426203829654,0.5,12,1,188.15815137648087
Therapy A,East,2017-02-01,38,1,2017-03-01,39,b_launch_growth,0,0.55,141.1264245613456,42.33792736840368,0.5,1,2,199.53776580131088
Therapy A,East,2017-02-01,38,3,2017-05-01,41,b_launch_growth,0,0.55,141.24378564999685,42.37313569499906,0.5,3,2,197.03370470333
Therapy A,East,2017-02-01,38,6,2017-08-01,44,b_launch_growth,0,0.55,141.42001030416375,42.42600309124912,0.5,6,2,193.38294625663613
Therapy A,East,2017-02-01,38,12,2018-02-01,50,b_launch_growth,0,0.55,141.77311949379524,42.531935848138566,0.5,12,2,187.2742942861448
Therapy A,East,2017-03-01,39,1,2017-04-01,40,b_launch_growth,0,0.55,141.1850929110193,42.35552787330579,0.5,1,3,198.2882114587252
Therapy A,East,2017-03-01,39,3,2017-06-01,42,b_launch_growth,0,0.55,141.30250278841726,42.39075083652518,0.5,3,3,195.7899530348876
Therapy A,East,2017-03-01,39,6,2017-09-01,45,b_launch_growth,0,0.55,141.47880070178897,42.44364021053669,0.5,6,3,192.23746779246235
Therapy A,East,2017-03-01,39,12,2018-03-01,51,b_launch_growth,0,0.55,141.83205668415232,42.54961700524569,0.5,12,3,186.44540416277104
Therapy A,East,2017-04-01,40,1,2017-05-01,41,b_launch_growth,0,0.55,141.24378564999685,42.37313569499906,0.5,1,4,197.03370470333
Therapy A,East,2017-04-01,40,3,2017-07-01,43,b_launch_growth,0,0.55,141.3612443364238,42.40837330092714,0.5,3,4,194.56968099043127
Therapy A,East,2017-04-01,40,6,2017-10-01,46,b_launch_growth,0,0.55,141.53761553945515,42.46128466183655,0.5,6,4,191.1389482978075
Therapy A,East,2017-04-01,40,12,2018-04-01,52,b_launch_growth,0,0.55,141.8910183755744,42.56730551267231,0.5,12,4,185.6705347952308
Therapy A,East,2017-05-01,41,1,2017-06-01,42,b_launch_growth,0,0.55,141.30250278841726,42.39075083652518,0.5,1,5,195.7899530348876
Therapy A,East,2017-05-01,41,3,2017-08-01,44,b_launch_growth,0,0.55,141.42001030416375,42.42600309124912,0.5,3,5,193.38294625663613
Therapy A,East,2017-05-01,41,6,2017-11-01,47,b_launch_growth,0,0.55,141.59645482732242,42.47893644819673,0.5,6,5,190.09137909683247
Therapy A,East,2017-05-01,41,12,2018-05-01,53,b_launch_growth,0,0.55,141.95000457824682,42.58500137347404,0.5,12,5,184.94827788645395
Therapy A,East,2017-06-01,42,1,2017-07-01,43,b_launch_growth,0,0.55,141.3612443364238,42.40837330092714,0.5,1,6,194.56968099043127
Therapy A,East,2017-06-01,42,3,2017-09-01,45,b_launch_growth,0,0.55,141.47880070178897,42.44364021053669,0.5,3,6,192.23746779246235
Therapy A,East,2017-06-01,42,6,2017-12-01,48,b_launch_growth,0,0.55,141.65531857555513,42.496595572666536,0.5,6,6,189.0973201408933
Therapy A,East,2017-06-01,42,12,2018-06-01,54,b_launch_growth,0,0.55,142.00901530235933,42.6027045907078,0.5,12,6,184.27687982820825
Therapy A,East,2017-07-01,43,1,2017-08-01,44,b_launch_growth,0,0.55,141.42001030416375,42.42600309124912,0.5,1,7,193.38294625663613
Therapy A,East,2017-07-01,43,3,2017-10-01,46,b_launch_growth,0,0.55,141.53761553945515,42.46128466183655,0.5,3,7,191.1389482978075
Therapy A,East,2017-07-01,43,6,2018-01-01,49,b_launch_growth,0,0.55,141.71420679432185,42.51426203829654,0.5,6,7,188.15815137648087
Therapy A,East,2017-07-01,43,12,2018-07-01,55,b_launch_growth,0,0.55,142.06805055810585,42.62041516743175,0.5,12,7,183.6543385274821
Therapy A,East,2017-08-01,44,1,2017-09-01,45,b_launch_growth,0,0.55,141.47880070178897,42.44364021053669,0.5,1,8,192.23746779246235
Therapy A,East,2017-08-01,44,3,2017-11-01,47,b_launch_growth,0,0.55,141.59645482732242,42.47893644819673,0.5,3,8,190.09137909683247
Therapy A,East,2017-08-01,44,6,2018-02-01,50,b_launch_growth,0,0.55,141.77311949379524,42.531935848138566,0.5,6,8,187.2742942861448
Therapy A,East,2017-08-01,44,12,2018-08-01,56,b_launch_growth,0,0.55,142.12711035568455,42.63813310670536,0.5,12,8,183.0784828989916
Therapy A,East,2017-09-01,45,1,2017-10-01,46,b_launch_growth,0,0.55,141.53761553945515,42.46128466183655,0.5,1,9,191.1389482978075
Therapy A,East,2017-09-01,45,3,2017-12-01,48,b_launch_growth,0,0.55,141.65531857555513,42.496595572666536,0.5,3,9,189.0973201408933
Therapy A,East,2017-09-01,45,6,2018-03-01,51,b_launch_growth,0,0.55,141.83205668415232,42.54961700524569,0.5,6,9,186.44540416277104
Therapy A,East,2017-09-01,45,12,2018-09-01,57,b_launch_growth,0,0.55,142.18619470529785,42.65585841158936,0.5,12,9,182.54703746679235
Therapy A,East,2017-10-01,46,1,2017-11-01,47,b_launch_growth,0,0.55,141.59645482732242,42.47893644819673,0.5,1,10,190.09137909683247
Therapy A,East,2017-10-01,46,3,2018-01-01,49,b_launch_growth,0,0.55,141.71420679432185,42.51426203829654,0.5,3,10,188.15815137648087
Therapy A,East,2017-10-01,46,6,2018-04-01,52,b_launch_growth,0,0.55,141.8910183755744,42.56730551267231,0.5,6,10,185.6705347952308
Therapy A,East,2017-10-01,46,12,2018-10-01,58,b_launch_growth,0,0.55,142.24530361715242,42.67359108514572,0.5,12,10,182.05767429765424
Therapy A,East,2017-11-01,47,1,2017-12-01,48,b_launch_growth,0,0.55,141.65531857555513,42.496595572666536,0.5,1,11,189.0973201408933
Therapy A,East,2017-11-01,47,3,2018-02-01,50,b_launch_growth,0,0.55,141.77311949379524,42.531935848138566,0.5,3,11,187.2742942861448
Therapy A,East,2017-11-01,47,6,2018-05-01,53,b_launch_growth,0,0.55,141.95000457824682,42.58500137347404,0.5,6,11,184.94827788645395
Therapy A,East,2017-11-01,47,12,2018-11-01,59,b_launch_growth,0,0.55,142.30443710145903,42.69133113043771,0.5,12,11,181.60805424867624
Therapy A,East,2017-12-01,48,1,2018-01-01,49,b_launch_growth,0,0.55,141.71420679432185,42.51426203829654,0.5,1,12,188.15815137648087
Therapy A,East,2017-12-01,48,3,2018-03-01,51,b_launch_growth,0,0.55,141.83205668415232,42.54961700524569,0.5,3,12,186.44540416277104
Therapy A,East,2017-12-01,48,6,2018-06-01,54,b_launch_growth,0,0.55,142.00901530235933,42.6027045907078,0.5,6,12,184.27687982820825
Therapy A,East,2017-12-01,48,12,2018-12-01,60,b_launch_growth,0,0.55,142.36359516843294,42.70907855052988,0.5,12,12,181.19585927053677
Therapy A,East,2018-01-01,49,1,2018-02-01,50,b_launch_growth,0,0.55,141.77311949379524,42.531935848138566,0.5,1,1,187.2742942861448
Therapy A,East,2018-01-01,49,3,2018-04-01,52,b_launch_growth,0,0.55,141.8910183755744,42.56730551267231,0.5,3,1,185.6705347952308
Therapy A,East,2018-01-01,49,6,2018-07-01,55,b_launch_growth,0,0.55,142.06805055810585,42.62041516743175,0.5,6,1,183.6543385274821
Therapy A,East,2018-01-01,49,12,2019-01-01,61,access_expansion,0,0.55,142.4227778282934,42.726833348488015,,12,1,178.82310615774355
Therapy A,East,2018-02-01,50,1,2018-03-01,51,b_launch_growth,0,0.55,141.83205668415232,42.54961700524569,0.5,1,2,186.44540416277104
Therapy A,East,2018-02-01,50,3,2018-05-01,53,b_launch_growth,0,0.55,141.95000457824682,42.58500137347404,0.5,3,2,184.94827788645395
Therapy A,East,2018-02-01,50,6,2018-08-01,56,b_launch_growth,0,0.55,142.12711035568455,42.63813310670536,0.5,6,2,183.0784828989916
Therapy A,East,2018-02-01,50,12,2019-02-01,62,access_expansion,0,0.55,142.48198509126416,42.744595527379246,,12,2,176.64191705717178
Therapy A,East,2018-03-01,51,1,2018-04-01,52,b_launch_growth,0,0.55,141.8910183755744,42.56730551267231,0.5,1,3,185.6705347952308
Therapy A,East,2018-03-01,51,3,2018-06-01,54,b_launch_growth,0,0.55,142.00901530235933,42.6027045907078,0.5,3,3,184.27687982820825
Therapy A,East,2018-03-01,51,6,2018-09-01,57,b_launch_growth,0,0.55,142.18619470529785,42.65585841158936,0.5,6,3,182.54703746679235
Therapy A,East,2018-03-01,51,12,2019-03-01,63,access_expansion,0,0.55,142.54121696757306,42.76236509027192,,12,3,174.6375075658165
Therapy A,East,2018-04-01,52,1,2018-05-01,53,b_launch_growth,0,0.55,141.95000457824682,42.58500137347404,0.5,1,4,184.94827788645395
Therapy A,East,2018-04-01,52,3,2018-07-01,55,b_launch_growth,0,0.55,142.06805055810585,42.62041516743175,0.5,3,4,183.6543385274821
Therapy A,East,2018-04-01,52,6,2018-10-01,58,b_launch_growth,0,0.55,142.24530361715242,42.67359108514572,0.5,6,4,182.05767429765424
Therapy A,East,2018-04-01,52,12,2019-04-01,64,access_expansion,0,0.55,142.60047346745222,42.78014204023567,,12,4,172.79618803407774
Therapy A,East,2018-05-01,53,1,2018-06-01,54,b_launch_growth,0,0.55,142.00901530235933,42.6027045907078,0.5,1,5,184.27687982820825
Therapy A,East,2018-05-01,53,3,2018-08-01,56,b_launch_growth,0,0.55,142.12711035568455,42.63813310670536,0.5,3,5,183.0784828989916
Therapy A,East,2018-05-01,53,6,2018-11-01,59,b_launch_growth,0,0.55,142.30443710145903,42.69133113043771,0.5,6,5,181.60805424867624
Therapy A,East,2018-05-01,53,12,2019-05-01,65,access_expansion,0,0.55,142.65975460113802,42.7979263803414,,12,5,171.1052902881341
Therapy A,East,2018-06-01,54,1,2018-07-01,55,b_launch_growth,0,0.55,142.06805055810585,42.62041516743175,0.5,1,6,183.6543385274821
Therapy A,East,2018-06-01,54,3,2018-09-01,57,b_launch_growth,0,0.55,142.18619470529785,42.65585841158936,0.5,3,6,182.54703746679235
Therapy A,East,2018-06-01,54,6,2018-12-01,60,b_launch_growth,0,0.55,142.36359516843294,42.70907855052988,0.5,6,6,181.19585927053677
Therapy A,East,2018-06-01,54,12,2019-06-01,66,access_expansion,0,0.55,142.7190603788711,42.815718113661326,,12,6,169.5530979124557
Therapy A,East,2018-07-01,55,1,2018-08-01,56,b_launch_growth,0,0.55,142.12711035568455,42.63813310670536,0.5,1,7,183.0784828989916
Therapy A,East,2018-07-01,55,3,2018-10-01,58,b_launch_growth,0,0.55,142.24530361715242,42.67359108514572,0.5,3,7,182.05767429765424
Therapy A,East,2018-07-01,55,6,2019-01-01,61,access_expansion,0,0.55,142.4227778282934,42.726833348488015,0.72,6,7,178.82310615774355
Therapy A,East,2018-07-01,55,12,2019-07-01,67,access_expansion,0,0.55,142.77839081089638,42.83351724326892,0.72,12,7,168.12878017133357
Therapy A,East,2018-08-01,56,1,2018-09-01,57,b_launch_growth,0,0.55,142.18619470529785,42.65585841158936,0.5,1,8,182.54703746679235
Therapy A,East,2018-08-01,56,3,2018-11-01,59,b_launch_growth,0,0.55,142.30443710145903,42.69133113043771,0.5,3,8,181.60805424867624
Therapy A,East,2018-08-01,56,6,2019-02-01,62,access_expansion,0,0.55,142.48198509126416,42.744595527379246,0.72,6,8,176.64191705717178
Therapy A,East,2018-08-01,56,12,2019-08-01,68,access_expansion,0,0.55,142.837745907463,42.85132377223889,0.72,12,8,166.8223295866256
Therapy A,East,2018-09-01,57,1,2018-10-01,58,b_launch_growth,0,0.55,142.24530361715242,42.67359108514572,0.5,1,9,182.05767429765424
Therapy A,East,2018-09-01,57,3,2018-12-01,60,b_launch_growth,0,0.55,142.36359516843294,42.70907855052988,0.5,3,9,181.19585927053677
Therapy A,East,2018-09-01,57,6,2019-03-01,63,access_expansion,0,0.55,142.54121696757306,42.76236509027192,0.72,6,9,174.6375075658165
Therapy A,East,2018-09-01,57,12,2019-09-01,69,access_expansion,0,0.55,142.89712567882435,42.8691377036473,0.72,12,9,165.62450313995743
Therapy A,East,2018-10-01,58,1,2018-11-01,59,b_launch_growth,0,0.55,142.30443710145903,42.69133113043771,0.5,1,10,181.60805424867624
Therapy A,East,2018-10-01,58,3,2019-01-01,61,access_expansion,0,0.55,142.4227778282934,42.726833348488015,0.72,3,10,178.82310615774355
Therapy A,East,2018-10-01,58,6,2019-04-01,64,access_expansion,0,0.55,142.60047346745222,42.78014204023567,0.72,6,10,172.79618803407774
Therapy A,East,2018-10-01,58,12,2019-10-01,70,access_expansion,0,0.55,142.95653013523813,42.88695904057143,0.72,12,10,164.52676702946445
Therapy A,East,2018-11-01,59,1,2018-12-01,60,b_launch_growth,0,0.55,142.36359516843294,42.70907855052988,0.5,1,11,181.19585927053677
