therapy,region,forecast_origin_month,forecast_origin_month_index,horizon_months,target_month,target_month_index,target_market_regime,target_supply_constrained,sales_at_forecast_origin,sales_lag_1,sales_lag_3,sales_lag_6,sales_lag_12,rolling_mean_3,rolling_mean_6,rolling_sd_6,sales_change_vs_3_months_ago,therapy_age_months,calendar_month,calendar_year,horizon_months,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,target_observed_sales_units
Therapy A,East,2015-04-01,16,1,2015-05-01,17,early_market_before_b_launch,0,160.1441030888504,152.76758464679898,137.5839570274724,114.6376469865674,75.77623990190378,145.19393153758799,133.72067790149376,14.292622357567625,22.560146061377992,16,4,2015,1,0.55,139.84187089428167,41.9525612682845,0.0,167.31685950699375
Therapy A,East,2015-04-01,16,3,2015-07-01,19,b_launch_growth,0,160.1441030888504,152.76758464679898,137.5839570274724,114.6376469865674,75.77623990190378,145.19393153758799,133.72067790149376,14.292622357567625,22.560146061377992,16,4,2015,3,0.55,139.95816374488138,41.98744912346441,0.5,179.274489416976
Therapy A,East,2015-04-01,16,6,2015-10-01,22,b_launch_growth,0,160.1441030888504,152.76758464679898,137.5839570274724,114.6376469865674,75.77623990190378,145.19393153758799,133.72067790149376,14.292622357567625,22.560146061377992,16,4,2015,6,0.55,140.1327843760849,42.039835312825474,0.5,191.93171501251024
Therapy A,East,2015-04-01,16,12,2016-04-01,28,b_launch_growth,0,160.1441030888504,152.76758464679898,137.5839570274724,114.6376469865674,75.77623990190378,145.19393153758799,133.72067790149376,14.292622357567625,22.560146061377992,16,4,2015,12,0.55,140.48267951345207,42.14480385403562,0.5,205.2181874662504
Therapy A,East,2015-05-01,17,1,2015-06-01,18,early_market_before_b_launch,0,167.31685950699375,160.1441030888504,145.23025293849264,122.21527907425512,81.0746931421247,152.713980224714,141.30508725187426,14.214717780154308,22.08660656850111,17,5,2015,1,0.55,139.90000523592707,41.97000157077812,0.0,174.2515161330392
Therapy A,East,2015-05-01,17,3,2015-08-01,20,b_launch_growth,0,167.31685950699375,160.1441030888504,145.23025293849264,122.21527907425512,81.0746931421247,152.713980224714,141.30508725187426,14.214717780154308,22.08660656850111,17,5,2015,3,0.55,140.01634643119112,42.00490392935733,0.5,183.9136307760991
Therapy A,East,2015-05-01,17,6,2015-11-01,23,b_launch_growth,0,167.31685950699375,160.1441030888504,145.23025293849264,122.21527907425512,81.0746931421247,152.713980224714,141.30508725187426,14.214717780154308,22.08660656850111,17,5,2015,6,0.55,140.19103965478328,42.05731189643498,0.5,195.27390221813087
Therapy A,East,2015-05-01,17,12,2016-05-01,29,b_launch_growth,0,167.31685950699375,160.1441030888504,145.23025293849264,122.21527907425512,81.0746931421247,152.713980224714,141.30508725187426,14.214717780154308,22.08660656850111,17,5,2015,12,0.55,140.54108024875313,42.162324074625936,0.5,205.9464914745064
Therapy A,East,2015-06-01,18,1,2015-07-01,19,b_launch_growth,0,174.2515161330392,167.31685950699375,152.76758464679898,129.88934673537585,86.93989397082198,160.07618241421437,148.82201732399733,14.024671840623986,21.48393148624021,18,6,2015,1,0.55,139.95816374488138,41.98744912346441,0.5,179.274489416976
Therapy A,East,2015-06-01,18,3,2015-09-01,21,b_launch_growth,0,174.2515161330392,167.31685950699375,152.76758464679898,129.88934673537585,86.93989397082198,160.07618241421437,148.82201732399733,14.024671840623986,21.48393148624021,18,6,2015,3,0.55,140.07455330490728,42.022365991472185,0.5,188.14000089519504
Therapy A,East,2015-06-01,18,6,2015-12-01,24,b_launch_growth,0,174.2515161330392,167.31685950699375,152.76758464679898,129.88934673537585,86.93989397082198,160.07618241421437,148.82201732399733,14.024671840623986,21.48393148624021,18,6,2015,6,0.55,140.24931915106575,42.074795745319726,0.5,198.158756803582
Therapy A,East,2015-06-01,18,12,2016-06-01,30,b_launch_growth,0,174.2515161330392,167.31685950699375,152.76758464679898,129.88934673537585,86.93989397082198,160.07618241421437,148.82201732399733,14.024671840623986,21.48393148624021,18,6,2015,12,0.55,140.59950526210673,42.17985157863202,0.5,206.3147304574285
Therapy A,East,2015-07-01,19,1,2015-08-01,20,b_launch_growth,0,179.274489416976,174.2515161330392,160.1441030888504,137.5839570274724,93.30625297351853,167.23749290962778,156.21571222360788,13.738050441286067,19.13038632812561,19,7,2015,1,0.55,140.01634643119112,42.00490392935733,0.5,183.9136307760991
Therapy A,East,2015-07-01,19,3,2015-10-01,22,b_launch_growth,0,179.274489416976,174.2515161330392,160.1441030888504,137.5839570274724,93.30625297351853,167.23749290962778,156.21571222360788,13.738050441286067,19.13038632812561,19,7,2015,3,0.55,140.1327843760849,42.039835312825474,0.5,191.93171501251024
Therapy A,East,2015-07-01,19,6,2016-01-01,25,b_launch_growth,0,179.274489416976,174.2515161330392,160.1441030888504,137.5839570274724,93.30625297351853,167.23749290962778,156.21571222360788,13.738050441286067,19.13038632812561,19,7,2015,6,0.55,140.307622875,42.0922868625,0.5,200.58561902943484
Therapy A,East,2015-07-01,19,12,2016-07-01,31,b_launch_growth,0,179.274489416976,174.2515161330392,160.1441030888504,137.5839570274724,93.30625297351853,167.23749290962778,156.21571222360788,13.738050441286067,19.13038632812561,19,7,2015,12,0.55,140.65795456360576,42.19738636908173,0.5,206.35821972584532
Therapy A,East,2015-08-01,20,1,2015-09-01,21,b_launch_growth,0,183.9136307760991,179.274489416976,167.31685950699375,145.23025293849264,100.09911898075576,173.61428835233633,163.16413428852516,12.95030222387028,16.596771269105346,20,8,2015,1,0.55,140.07455330490728,42.022365991472185,0.5,188.14000089519504
Therapy A,East,2015-08-01,20,3,2015-11-01,23,b_launch_growth,0,183.9136307760991,179.274489416976,167.31685950699375,145.23025293849264,100.09911898075576,173.61428835233633,163.16413428852516,12.95030222387028,16.596771269105346,20,8,2015,3,0.55,140.19103965478328,42.05731189643498,0.5,195.27390221813087
Therapy A,East,2015-08-01,20,6,2016-02-01,26,b_launch_growth,0,183.9136307760991,179.274489416976,167.31685950699375,145.23025293849264,100.09911898075576,173.61428835233633,163.16413428852516,12.95030222387028,16.596771269105346,20,8,2015,6,0.55,140.36595083665773,42.10978525099732,0.5,202.560998346974
Therapy A,East,2015-08-01,20,12,2016-08-01,32,b_launch_growth,0,183.9136307760991,179.274489416976,167.31685950699375,145.23025293849264,100.09911898075576,173.61428835233633,163.16413428852516,12.95030222387028,16.596771269105346,20,8,2015,12,0.55,140.71642816334705,42.21492844900411,0.5,206.1148946140556
Therapy A,East,2015-09-01,21,1,2015-10-01,22,b_launch_growth,0,188.14000089519504,183.9136307760991,174.2515161330392,152.76758464679898,107.23759068086814,179.1465454420381,169.61136392812625,11.815824325913034,13.888484762155855,21,9,2015,1,0.55,140.1327843760849,42.039835312825474,0.5,191.93171501251024
Therapy A,East,2015-09-01,21,3,2015-12-01,24,b_launch_growth,0,188.14000089519504,183.9136307760991,174.2515161330392,152.76758464679898,107.23759068086814,179.1465454420381,169.61136392812625,11.815824325913034,13.888484762155855,21,9,2015,3,0.55,140.24931915106575,42.074795745319726,0.5,198.158756803582
Therapy A,East,2015-09-01,21,6,2016-03-01,27,b_launch_growth,0,188.14000089519504,183.9136307760991,174.2515161330392,152.76758464679898,107.23759068086814,179.1465454420381,169.61136392812625,11.815824325913034,13.888484762155855,21,9,2015,6,0.55,140.42430304611506,42.127290913834514,0.5,204.0984447958548
Therapy A,East,2015-09-01,21,12,2016-09-01,33,b_launch_growth,0,188.14000089519504,183.9136307760991,174.2515161330392,152.76758464679898,107.23759068086814,179.1465454420381,169.61136392812625,11.815824325913034,13.888484762155855,21,9,2015,12,0.55,140.77492607143176,42.232477821429526,0.5,205.6239406491352
Therapy A,East,2015-10-01,22,1,2015-11-01,23,b_launch_growth,0,191.93171501251024,188.14000089519504,179.274489416976,160.1441030888504,114.6376469865674,183.7760403627567,175.50676663619222,10.47980315981096,12.657225595534243,22,10,2015,1,0.55,140.19103965478328,42.05731189643498,0.5,195.27390221813087
Therapy A,East,2015-10-01,22,3,2016-01-01,25,b_launch_growth,0,191.93171501251024,188.14000089519504,179.274489416976,160.1441030888504,114.6376469865674,183.7760403627567,175.50676663619222,10.47980315981096,12.657225595534243,22,10,2015,3,0.55,140.307622875,42.0922868625,0.5,200.58561902943484
Therapy A,East,2015-10-01,22,6,2016-04-01,28,b_launch_growth,0,191.93171501251024,188.14000089519504,179.274489416976,160.1441030888504,114.6376469865674,183.7760403627567,175.50676663619222,10.47980315981096,12.657225595534243,22,10,2015,6,0.55,140.48267951345207,42.14480385403562,0.5,205.2181874662504
Therapy A,East,2015-10-01,22,12,2016-10-01,34,b_launch_growth,0,191.93171501251024,188.14000089519504,179.274489416976,160.1441030888504,114.6376469865674,183.7760403627567,175.50676663619222,10.47980315981096,12.657225595534243,22,10,2015,12,0.55,140.83344829796533,42.2500344893896,0.5,204.92448366691076
Therapy A,East,2015-11-01,23,1,2015-12-01,24,b_launch_growth,0,195.27390221813087,191.93171501251024,183.9136307760991,167.31685950699375,122.21527907425512,187.99511556126814,180.80470195680223,9.104835608286422,11.360271442031774,23,11,2015,1,0.55,140.24931915106575,42.074795745319726,0.5,198.158756803582
Therapy A,East,2015-11-01,23,3,2016-02-01,26,b_launch_growth,0,195.27390221813087,191.93171501251024,183.9136307760991,167.31685950699375,122.21527907425512,187.99511556126814,180.80470195680223,9.104835608286422,11.360271442031774,23,11,2015,3,0.55,140.36595083665773,42.10978525099732,0.5,202.560998346974
Therapy A,East,2015-11-01,23,6,2016-05-01,29,b_launch_growth,0,195.27390221813087,191.93171501251024,183.9136307760991,167.31685950699375,122.21527907425512,187.99511556126814,180.80470195680223,9.104835608286422,11.360271442031774,23,11,2015,6,0.55,140.54108024875313,42.162324074625936,0.5,205.9464914745064
Therapy A,East,2015-11-01,23,12,2016-11-01,35,b_launch_growth,0,195.27390221813087,191.93171501251024,183.9136307760991,167.31685950699375,122.21527907425512,187.99511556126814,180.80470195680223,9.104835608286422,11.360271442031774,23,11,2015,12,0.55,140.89199485305718,42.26759845591715,0.5,204.05443132645095
Therapy A,East,2015-12-01,24,1,2016-01-01,25,b_launch_growth,0,198.158756803582,195.27390221813087,188.14000089519504,174.2515161330392,129.88934673537585,191.78187270861204,185.4642090753251,7.895061494324054,10.018755908386964,24,12,2015,1,0.55,140.307622875,42.0922868625,0.5,200.58561902943484
Therapy A,East,2015-12-01,24,3,2016-03-01,27,b_launch_growth,0,198.158756803582,195.27390221813087,188.14000089519504,174.2515161330392,129.88934673537585,191.78187270861204,185.4642090753251,7.895061494324054,10.018755908386964,24,12,2015,3,0.55,140.42430304611506,42.127290913834514,0.5,204.0984447958548
Therapy A,East,2015-12-01,24,6,2016-06-01,30,b_launch_growth,0,198.158756803582,195.27390221813087,188.14000089519504,174.2515161330392,129.88934673537585,191.78187270861204,185.4642090753251,7.895061494324054,10.018755908386964,24,12,2015,6,0.55,140.59950526210673,42.17985157863202,0.5,206.3147304574285
Therapy A,East,2015-12-01,24,12,2016-12-01,36,b_launch_growth,0,198.158756803582,195.27390221813087,188.14000089519504,174.2515161330392,129.88934673537585,191.78187270861204,185.4642090753251,7.895061494324054,10.018755908386964,24,12,2015,12,0.55,140.95056574682107,42.28516972404632,0.5,203.04952905318288
Therapy A,East,2016-01-01,25,1,2016-02-01,26,b_launch_growth,0,200.58561902943484,198.158756803582,191.93171501251024,179.274489416976,137.5839570274724,195.12145801140773,189.4487491870822,7.096868035825205,8.6539040169246,25,1,2016,1,0.55,140.36595083665773,42.10978525099732,0.5,202.560998346974
Therapy A,East,2016-01-01,25,3,2016-04-01,28,b_launch_growth,0,200.58561902943484,198.158756803582,191.93171501251024,179.274489416976,137.5839570274724,195.12145801140773,189.4487491870822,7.096868035825205,8.6539040169246,25,1,2016,3,0.55,140.48267951345207,42.14480385403562,0.5,205.2181874662504
Therapy A,East,2016-01-01,25,6,2016-07-01,31,b_launch_growth,0,200.58561902943484,198.158756803582,191.93171501251024,179.274489416976,137.5839570274724,195.12145801140773,189.4487491870822,7.096868035825205,8.6539040169246,25,1,2016,6,0.55,140.65795456360576,42.19738636908173,0.5,206.35821972584532
Therapy A,East,2016-01-01,25,12,2017-01-01,37,b_launch_growth,0,200.58561902943484,198.158756803582,191.93171501251024,179.274489416976,137.5839570274724,195.12145801140773,189.4487491870822,7.096868035825205,8.6539040169246,25,1,2016,12,0.55,141.00916098937498,42.30274829681249,0.5,201.9426610583358
Therapy A,East,2016-02-01,26,1,2016-03-01,27,b_launch_growth,0,202.560998346974,200.58561902943484,195.27390221813087,183.9136307760991,145.23025293849264,198.0060926837159,193.00060412249204,6.271330747334539,7.287096128843132,26,2,2016,1,0.55,140.42430304611506,42.127290913834514,0.5,204.0984447958548
Therapy A,East,2016-02-01,26,3,2016-05-01,29,b_launch_growth,0,202.560998346974,200.58561902943484,195.27390221813087,183.9136307760991,145.23025293849264,198.0060926837159,193.00060412249204,6.271330747334539,7.287096128843132,26,2,2016,3,0.55,140.54108024875313,42.162324074625936,0.5,205.9464914745064
Therapy A,East,2016-02-01,26,6,2016-08-01,32,b_launch_growth,0,202.560998346974,200.58561902943484,195.27390221813087,183.9136307760991,145.23025293849264,198.0060926837159,193.00060412249204,6.271330747334539,7.287096128843132,26,2,2016,6,0.55,140.71642816334705,42.21492844900411,0.5,206.1148946140556
Therapy A,East,2016-02-01,26,12,2017-02-01,38,b_launch_growth,0,202.560998346974,200.58561902943484,195.27390221813087,183.9136307760991,145.23025293849264,198.0060926837159,193.00060412249204,6.271330747334539,7.287096128843132,26,2,2016,12,0.55,141.067780590841,42.3203341772523,0.5,200.7633974491796
Therapy A,East,2016-03-01,27,1,2016-04-01,28,b_launch_growth,0,204.0984447958548,202.560998346974,198.158756803582,188.14000089519504,152.76758464679898,200.43512472666362,196.10849871763784,5.431794306756319,5.9396879922727805,27,3,2016,1,0.55,140.48267951345207,42.14480385403562,0.5,205.2181874662504
Therapy A,East,2016-03-01,27,3,2016-06-01,30,b_launch_growth,0,204.0984447958548,202.560998346974,198.158756803582,188.14000089519504,152.76758464679898,200.43512472666362,196.10849871763784,5.431794306756319,5.9396879922727805,27,3,2016,3,0.55,140.59950526210673,42.17985157863202,0.5,206.3147304574285
Therapy A,East,2016-03-01,27,6,2016-09-01,33,b_launch_growth,0,204.0984447958548,202.560998346974,198.158756803582,188.14000089519504,152.76758464679898,200.43512472666362,196.10849871763784,5.431794306756319,5.9396879922727805,27,3,2016,6,0.55,140.77492607143176,42.232477821429526,0.5,205.6239406491352
Therapy A,East,2016-03-01,27,12,2017-03-01,39,b_launch_growth,0,204.0984447958548,202.560998346974,198.158756803582,188.14000089519504,152.76758464679898,200.43512472666362,196.10849871763784,5.431794306756319,5.9396879922727805,27,3,2016,12,0.55,141.1264245613456,42.33792736840368,0.5,199.53776580131088
Therapy A,East,2016-04-01,28,1,2016-05-01,29,b_launch_growth,0,205.2181874662504,204.0984447958548,200.58561902943484,191.93171501251024,160.1441030888504,202.41502072408787,198.7682393677478,4.591707869322852,4.632568436815575,28,4,2016,1,0.55,140.54108024875313,42.162324074625936,0.5,205.9464914745064
Therapy A,East,2016-04-01,28,3,2016-07-01,31,b_launch_growth,0,205.2181874662504,204.0984447958548,200.58561902943484,191.93171501251024,160.1441030888504,202.41502072408787,198.7682393677478,4.591707869322852,4.632568436815575,28,4,2016,3,0.55,140.65795456360576,42.19738636908173,0.5,206.35821972584532
Therapy A,East,2016-04-01,28,6,2016-10-01,34,b_launch_growth,0,205.2181874662504,204.0984447958548,200.58561902943484,191.93171501251024,160.1441030888504,202.41502072408787,198.7682393677478,4.591707869322852,4.632568436815575,28,4,2016,6,0.55,140.83344829796533,42.2500344893896,0.5,204.92448366691076
Therapy A,East,2016-04-01,28,12,2017-04-01,40,b_launch_growth,0,205.2181874662504,204.0984447958548,200.58561902943484,191.93171501251024,160.1441030888504,202.41502072408787,198.7682393677478,4.591707869322852,4.632568436815575,28,4,2016,12,0.55,141.1850929110193,42.35552787330579,0.5,198.2882114587252
Therapy A,East,2016-05-01,29,1,2016-06-01,30,b_launch_growth,0,205.9464914745064,205.2181874662504,202.560998346974,195.27390221813087,167.31685950699375,203.9592102030264,200.98265144337117,3.764596816543028,3.385493127532385,29,5,2016,1,0.55,140.59950526210673,42.17985157863202,0.5,206.3147304574285
Therapy A,East,2016-05-01,29,3,2016-08-01,32,b_launch_growth,0,205.9464914745064,205.2181874662504,202.560998346974,195.27390221813087,167.31685950699375,203.9592102030264,200.98265144337117,3.764596816543028,3.385493127532385,29,5,2016,3,0.55,140.71642816334705,42.21492844900411,0.5,206.1148946140556
Therapy A,East,2016-05-01,29,6,2016-11-01,35,b_launch_growth,0,205.9464914745064,205.2181874662504,202.560998346974,195.27390221813087,167.31685950699375,203.9592102030264,200.98265144337117,3.764596816543028,3.385493127532385,29,5,2016,6,0.55,140.89199485305718,42.26759845591715,0.5,204.05443132645095
Therapy A,East,2016-05-01,29,12,2017-05-01,41,b_launch_growth,0,205.9464914745064,205.2181874662504,202.560998346974,195.27390221813087,167.31685950699375,203.9592102030264,200.98265144337117,3.764596816543028,3.385493127532385,29,5,2016,12,0.55,141.24378564999685,42.37313569499906,0.5,197.03370470333
Therapy A,East,2016-06-01,30,1,2016-07-01,31,b_launch_growth,0,206.3147304574285,205.9464914745064,204.0984447958548,198.158756803582,174.2515161330392,205.08770791220385,202.76141631943378,2.9640111061790746,2.216285661573721,30,6,2016,1,0.55,140.65795456360576,42.19738636908173,0.5,206.35821972584532
Therapy A,East,2016-06-01,30,3,2016-09-01,33,b_launch_growth,0,206.3147304574285,205.9464914745064,204.0984447958548,198.158756803582,174.2515161330392,205.08770791220385,202.76141631943378,2.9640111061790746,2.216285661573721,30,6,2016,3,0.55,140.77492607143176,42.232477821429526,0.5,205.6239406491352
Therapy A,East,2016-06-01,30,6,2016-12-01,36,b_launch_growth,0,206.3147304574285,205.9464914745064,204.0984447958548,198.158756803582,174.2515161330392,205.08770791220385,202.76141631943378,2.9640111061790746,2.216285661573721,30,6,2016,6,0.55,140.95056574682107,42.28516972404632,0.5,203.04952905318288
Therapy A,East,2016-06-01,30,12,2017-06-01,42,b_launch_growth,0,206.3147304574285,205.9464914745064,204.0984447958548,198.158756803582,174.2515161330392,205.08770791220385,202.76141631943378,2.9640111061790746,2.216285661573721,30,6,2016,12,0.55,141.30250278841726,42.39075083652518,0.5,195.7899530348876
Therapy A,East,2016-07-01,31,1,2016-08-01,32,b_launch_growth,0,206.35821972584532,206.3147304574285,205.2181874662504,200.58561902943484,179.274489416976,205.8264697993951,204.1207452617415,2.203711636843836,1.1400322595949035,31,7,2016,1,0.55,140.71642816334705,42.21492844900411,0.5,206.1148946140556
Therapy A,East,2016-07-01,31,3,2016-10-01,34,b_launch_growth,0,206.35821972584532,206.3147304574285,205.2181874662504,200.58561902943484,179.274489416976,205.8264697993951,204.1207452617415,2.203711636843836,1.1400322595949035,31,7,2016,3,0.55,140.83344829796533,42.2500344893896,0.5,204.92448366691076
Therapy A,East,2016-07-01,31,6,2017-01-01,37,b_launch_growth,0,206.35821972584532,206.3147304574285,205.2181874662504,200.58561902943484,179.274489416976,205.8264697993951,204.1207452617415,2.203711636843836,1.1400322595949035,31,7,2016,6,0.55,141.00916098937498,42.30274829681249,0.5,201.9426610583358
Therapy A,East,2016-07-01,31,12,2017-07-01,43,b_launch_growth,0,206.35821972584532,206.3147304574285,205.2181874662504,200.58561902943484,179.274489416976,205.8264697993951,204.1207452617415,2.203711636843836,1.1400322595949035,31,7,2016,12,0.55,141.3612443364238,42.40837330092714,0.5,194.56968099043127
Therapy A,East,2016-08-01,32,1,2016-09-01,33,b_launch_growth,0,206.1148946140556,206.35821972584532,205.9464914745064,202.560998346974,183.9136307760991,206.20648055259338,205.08284537780992,1.4991383919402224,0.1684031395492127,32,8,2016,1,0.55,140.77492607143176,42.232477821429526,0.5,205.6239406491352
Therapy A,East,2016-08-01,32,3,2016-11-01,35,b_launch_growth,0,206.1148946140556,206.35821972584532,205.9464914745064,202.560998346974,183.9136307760991,206.20648055259338,205.08284537780992,1.4991383919402224,0.1684031395492127,32,8,2016,3,0.55,140.89199485305718,42.26759845591715,0.5,204.05443132645095
Therapy A,East,2016-08-01,32,6,2017-02-01,38,b_launch_growth,0,206.1148946140556,206.35821972584532,205.9464914745064,202.560998346974,183.9136307760991,206.20648055259338,205.08284537780992,1.4991383919402224,0.1684031395492127,32,8,2016,6,0.55,141.067780590841,42.3203341772523,0.5,200.7633974491796
Therapy A,East,2016-08-01,32,12,2017-08-01,44,b_launch_growth,0,206.1148946140556,206.35821972584532,205.9464914745064,202.560998346974,183.9136307760991,206.20648055259338,205.08284537780992,1.4991383919402224,0.1684031395492127,32,8,2016,12,0.55,141.42001030416375,42.42600309124912,0.5,193.38294625663613
Therapy A,East,2016-09-01,33,1,2016-10-01,34,b_launch_growth,0,205.6239406491352,206.1148946140556,206.3147304574285,204.0984447958548,188.14000089519504,206.26261493244314,205.6751614223235,0.8760665489009024,-0.6907898082933173,33,9,2016,1,0.55,140.83344829796533,42.2500344893896,0.5,204.92448366691076
Therapy A,East,2016-09-01,33,3,2016-12-01,36,b_launch_growth,0,205.6239406491352,206.1148946140556,206.3147304574285,204.0984447958548,188.14000089519504,206.26261493244314,205.6751614223235,0.8760665489009024,-0.6907898082933173,33,9,2016,3,0.55,140.95056574682107,42.28516972404632,0.5,203.04952905318288
Therapy A,East,2016-09-01,33,6,2017-03-01,39,b_launch_growth,0,205.6239406491352,206.1148946140556,206.3147304574285,204.0984447958548,188.14000089519504,206.26261493244314,205.6751614223235,0.8760665489009024,-0.6907898082933173,33,9,2016,6,0.55,141.1264245613456,42.33792736840368,0.5,199.53776580131088
Therapy A,East,2016-09-01,33,12,2017-09-01,45,b_launch_growth,0,205.6239406491352,206.1148946140556,206.3147304574285,204.0984447958548,188.14000089519504,206.26261493244314,205.6751614223235,0.8760665489009024,-0.6907898082933173,33,9,2016,12,0.55,141.47880070178897,42.44364021053669,0.5,192.23746779246235
Therapy A,East,2016-10-01,34,1,2016-11-01,35,b_launch_growth,0,204.92448366691076,205.6239406491352,206.35821972584532,205.2181874662504,191.93171501251024,206.03235166301204,205.92941073120357,0.4395895748406352,-1.4337360589345565,34,10,2016,1,0.55,140.89199485305718,42.26759845591715,0.5,204.05443132645095
Therapy A,East,2016-10-01,34,3,2017-01-01,37,b_launch_growth,0,204.92448366691076,205.6239406491352,206.35821972584532,205.2181874662504,191.93171501251024,206.03235166301204,205.92941073120357,0.4395895748406352,-1.4337360589345565,34,10,2016,3,0.55,141.00916098937498,42.30274829681249,0.5,201.9426610583358
Therapy A,East,2016-10-01,34,6,2017-04-01,40,b_launch_growth,0,204.92448366691076,205.6239406491352,206.35821972584532,205.2181874662504,191.93171501251024,206.03235166301204,205.92941073120357,0.4395895748406352,-1.4337360589345565,34,10,2016,6,0.55,141.1850929110193,42.35552787330579,0.5,198.2882114587252
Therapy A,East,2016-10-01,34,12,2017-10-01,46,b_launch_growth,0,204.92448366691076,205.6239406491352,206.35821972584532,205.2181874662504,191.93171501251024,206.03235166301204,205.92941073120357,0.4395895748406352,-1.4337360589345565,34,10,2016,12,0.55,141.53761553945515,42.46128466183655,0.5,191.1389482978075
Therapy A,East,2016-11-01,35,1,2016-12-01,36,b_launch_growth,0,204.05443132645095,204.92448366691076,206.1148946140556,205.9464914745064,195.27390221813087,205.5544396433672,205.88046009798032,0.5396031609474944,-2.060463287604648,35,11,2016,1,0.55,140.95056574682107,42.28516972404632,0.5,203.04952905318288
