therapy,region,forecast_origin_month_index,target_month_index,horizon_months,actual_sales_units,target_market_regime,target_supply_constrained,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,target_patient_driver_index,origin_patient_driver_index,driver_growth_ratio,access_change_vs_origin,competitor_pressure_change_vs_origin,naive_prediction,seasonal_naive_prediction,historical_xgboost_prediction,patient_driver_prediction,hybrid_xgboost_prediction,scenario_access_rate,scenario_patient_pool,scenario_competitor_pressure,scenario_driver_ratio,baseline_forecast_units,scenario_forecast_units_before_supply,scenario_supply_fill_rate,scenario_forecast_units,scenario_name,scenario_description,absolute_change_units,percent_change
Therapy D,West,130,142,12,311.4042299456148,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,283.80157949941656,232.02163374898367,307.64404,277.66721655657943,290.04202,0.51,56.3883134714783,1.078252907810606,0.8577026045941674,277.66721655657943,238.1558948509909,1.0,238.1558948509909,Access downside,Market access drops by 15 percent across therapies and regions.,-39.51132170558853,-0.14229739540583258
Therapy A,East,130,142,12,89.2027244051753,epidemiology_change,0,0.55,164.975096689,49.4925290067,1.22,15.597570516461506,15.519970663145775,1.0046577940762056,0.0,0.0,89.70134582153754,92.67204352205796,98.795364,91.85768260352232,94.33017,0.55,49.4925290067,1.47,0.8576977998331649,91.85768260352232,78.78613226681428,1.0,78.78613226681428,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-13.071550336708043,-0.14230220016683515
Therapy A,North,130,142,12,153.68569276793303,epidemiology_change,0,0.74,246.44428023912343,73.93328407173702,1.33,29.24283184889414,29.09734512327776,1.004811452418939,0.0,0.0,154.77024413711126,160.72220884750274,133.29204,158.69306605578723,143.01971,0.74,73.93328407173702,1.58,0.8424392570689814,158.69306605578723,133.68926867003617,1.0,133.68926867003617,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-25.003797385751056,-0.15756074293101868
Therapy A,South,130,142,12,100.03443944177135,epidemiology_change,0,0.6,165.84798079846558,49.75439423953967,1.1,18.359371474390137,18.268031317801128,1.0047062477680668,0.0,0.0,100.75611961926784,104.68930070410968,107.44106,103.32181357506461,108.2489,0.6,49.75439423953967,1.35,0.8660432262538492,103.32181357506461,89.4811567709477,1.0,89.4811567709477,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-13.840656804116904,-0.1339567737461508
Therapy A,West,130,142,12,113.80517862048916,epidemiology_change,0,0.65,187.9610449049277,56.3883134714783,1.2,21.25839417874732,21.152631023629176,1.004744258009772,0.0,0.0,114.64803430785186,119.20479080374206,112.631226,117.58817902357583,116.13517,0.65,56.3883134714783,1.45,0.8568178486771195,117.58817902357583,100.75165058084023,1.0,100.75165058084023,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-16.8365284427356,-0.1431821513228805
Therapy B,East,130,142,12,252.3583569952616,epidemiology_change,0,0.72,164.975096689,49.4925290067,0.9046755373782052,24.35140145543763,24.230250204415547,1.0047752813087463,0.0,0.0,249.48055570505497,249.93284842806577,225.51314,252.96577956400662,233.64262,0.72,49.4925290067,1.1546755373782052,0.8776842701697213,252.96577956400662,222.02408561454976,1.0,222.02408561454976,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-30.941693949456862,-0.12231572983027866
Therapy B,North,130,142,12,315.89856041965106,epidemiology_change,0,0.68,246.44428023912343,73.93328407173702,1.194472541199767,29.256549075131126,29.110994104608093,1.0048115374892534,0.0,0.0,313.92713435381074,319.09328079084366,283.78088,319.24990995168366,287.9548,0.68,73.93328407173702,1.444472541199767,0.8552797901255342,319.24990995168366,273.0479959810717,1.0,273.0479959810717,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-46.20191397061194,-0.1447202098744657
Therapy B,South,130,142,12,202.6641746785681,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,201.24419710372183,204.21960538680963,186.31683,204.59124704944972,176.71185,0.55,49.75439423953967,1.2414642225944057,0.8740383097240269,204.59124704944972,178.82058775543183,1.0,178.82058775543183,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-25.77065929401789,-0.12596169027597315
Therapy B,West,130,142,12,233.2252573268776,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,231.72687696667816,235.4950120466522,223.08575,235.65053372433562,215.6442,0.6,56.3883134714783,1.328252907810606,0.8666795965847058,235.65053372433562,204.2335095031778,1.0,204.2335095031778,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-31.417024221157817,-0.13332040341529422
Therapy C,East,130,142,12,1090.3807741490614,epidemiology_change,0,0.66,164.975096689,115.4825676823,0.0,76.21849467031801,75.83929817942088,1.0049259384477114,0.0,0.0,1061.965261610521,1005.4898718609472,1094.6207,1065.1420111562988,1065.3331,0.66,115.4825676823,0.0,1.0,1065.1420111562988,1065.1420111562988,1.0,1065.1420111562988,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",0.0,0.0
Therapy C,North,130,142,12,1694.2109291175475,epidemiology_change,0,0.76,246.44428023912343,172.5109961673864,0.0,131.10835708721365,130.45607670369517,1.0049566764147722,0.0,0.0,1649.891471246044,1562.2427278328817,1564.5139,1654.8646640404882,1601.3601,0.76,172.5109961673864,0.0,1.0,1654.8646640404882,1654.8646640404882,1.0,1654.8646640404882,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",0.0,0.0
Therapy C,South,130,142,12,1114.8474169521676,epidemiology_change,0,0.7,165.84798079846558,116.0935865589259,0.0,81.26551059124813,80.86120456840608,1.004930474101472,0.0,0.0,1085.7480970555712,1028.0372130548003,1111.1724,1089.0053231356242,1082.2024,0.7,116.0935865589259,0.0,1.0,1089.0053231356242,1089.0053231356242,1.0,1089.0053231356242,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",0.0,0.0
Therapy C,West,130,142,12,1273.4395108121887,epidemiology_change,0,0.72,187.9610449049277,131.57273143344935,0.0,94.73236663208353,94.26106132545624,1.0049402395556164,0.0,0.0,1240.17483121751,1174.2677247243191,1261.7401,1243.9015487140455,1263.2705,0.72,131.57273143344935,0.0,1.0,1243.9015487140455,1243.9015487140455,1.0,1243.9015487140455,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",0.0,0.0
Therapy D,East,130,142,12,235.200988311192,epidemiology_change,0,0.5,164.975096689,49.4925290067,1.1246755373782051,15.005233088407074,14.930580187469722,1.0046452438237312,0.0,0.0,149.85864176076782,174.0592685834941,204.91042,151.48459788612396,189.14574,0.5,49.4925290067,1.3746755373782051,0.8658882600549593,151.48459788612396,131.16873488874106,1.0,131.16873488874106,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-20.315862997382908,-0.13411173994504064
Therapy D,North,130,142,12,402.8609295669854,epidemiology_change,0,0.65,246.44428023912343,73.93328407173702,1.2244725411997668,27.461224305085736,27.32460129859278,1.0047997099855612,0.0,0.0,367.2298221906391,300.3433531430651,408.33466,359.31042868915415,394.6239,0.65,73.93328407173702,1.4744725411997668,0.8529811352426301,359.31042868915415,306.4850173677908,1.0,306.4850173677908,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-52.82541132136333,-0.14701886475736983
Therapy D,South,130,142,12,270.78684302588545,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,246.72738455593745,201.5721346353606,269.80215,241.36853066127182,260.35257,0.55,49.75439423953967,1.2414642225944057,0.8740383097240269,241.36853066127182,210.96534255974996,1.0,210.96534255974996,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-30.403188101521863,-0.1259616902759732
Therapy D,West,130,142,12,311.4042299456148,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,283.80157949941656,232.02163374898367,307.64404,277.66721655657943,290.04202,0.6,56.3883134714783,1.328252907810606,0.8666795965847058,277.66721655657943,240.64851123005442,1.0,240.64851123005442,Earlier strong competitor pressure,"Overlapping competitor pressure rises for biomarker-positive therapies A, B, and D.",-37.01870532652501,-0.13332040341529414
Therapy A,East,130,142,12,89.2027244051753,epidemiology_change,0,0.55,164.975096689,49.4925290067,1.22,15.597570516461506,15.519970663145775,1.0046577940762056,0.0,0.0,89.70134582153754,92.67204352205796,98.795364,91.85768260352232,94.33017,0.55,55.43163248750401,1.22,1.1118251346682468,91.85768260352232,102.12968033097428,1.0,102.12968033097428,Epidemiology upside,Eligible patient pool increases by 12 percent.,10.27199772745196,0.11182513466824687
Therapy A,North,130,142,12,153.68569276793303,epidemiology_change,0,0.74,246.44428023912343,73.93328407173702,1.33,29.24283184889414,29.09734512327776,1.004811452418939,0.0,0.0,154.77024413711126,160.72220884750274,133.29204,158.69306605578723,143.01971,0.74,82.80527816034547,1.33,1.1154965263039491,158.69306605578723,177.02156393375378,1.0,177.02156393375378,Epidemiology upside,Eligible patient pool increases by 12 percent.,18.328497877966555,0.11549652630394906
Therapy A,South,130,142,12,100.03443944177135,epidemiology_change,0,0.6,165.84798079846558,49.75439423953967,1.1,18.359371474390137,18.268031317801128,1.0047062477680668,0.0,0.0,100.75611961926784,104.68930070410968,107.44106,103.32181357506461,108.2489,0.6,55.724921548284435,1.1,1.1129829703138965,103.32181357506461,114.99541897099408,1.0,114.99541897099408,Epidemiology upside,Eligible patient pool increases by 12 percent.,11.67360539592947,0.11298297031389648
Therapy A,West,130,142,12,113.80517862048916,epidemiology_change,0,0.65,187.9610449049277,56.3883134714783,1.2,21.25839417874732,21.152631023629176,1.004744258009772,0.0,0.0,114.64803430785186,119.20479080374206,112.631226,117.58817902357583,116.13517,0.65,63.1549110880557,1.2,1.1138911740808284,117.58817902357583,130.9804347905975,1.0,130.9804347905975,Epidemiology upside,Eligible patient pool increases by 12 percent.,13.39225576702168,0.11389117408082833
Therapy B,East,130,142,12,252.3583569952616,epidemiology_change,0,0.72,164.975096689,49.4925290067,0.9046755373782052,24.35140145543763,24.230250204415547,1.0047752813087463,0.0,0.0,249.48055570505497,249.93284842806577,225.51314,252.96577956400662,233.64262,0.72,55.43163248750401,0.9046755373782052,1.1146323832896554,252.96577956400662,281.96384976615434,1.0,281.96384976615434,Epidemiology upside,Eligible patient pool increases by 12 percent.,28.998070202147716,0.11463238328965553
Therapy B,North,130,142,12,315.89856041965106,epidemiology_change,0,0.68,246.44428023912343,73.93328407173702,1.194472541199767,29.256549075131126,29.110994104608093,1.0048115374892534,0.0,0.0,313.92713435381074,319.09328079084366,283.78088,319.24990995168366,287.9548,0.68,82.80527816034547,1.194472541199767,1.1154985585961577,319.24990995168366,356.12281438305627,1.0,356.12281438305627,Epidemiology upside,Eligible patient pool increases by 12 percent.,36.8729044313726,0.1154985585961577
Therapy B,South,130,142,12,202.6641746785681,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,201.24419710372183,204.21960538680963,186.31683,204.59124704944972,176.71185,0.55,55.724921548284435,0.9914642225944056,1.1128019364733561,204.59124704944972,227.66953590212646,1.0,227.66953590212646,Epidemiology upside,Eligible patient pool increases by 12 percent.,23.078288852676735,0.11280193647335612
Therapy B,West,130,142,12,233.2252573268776,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,231.72687696667816,235.4950120466522,223.08575,235.65053372433562,215.6442,0.6,63.1549110880557,1.078252907810606,1.113837916324666,235.65053372433562,262.4764994643094,1.0,262.4764994643094,Epidemiology upside,Eligible patient pool increases by 12 percent.,26.82596573997381,0.11383791632466604
Therapy C,East,130,142,12,1090.3807741490614,epidemiology_change,0,0.66,164.975096689,115.4825676823,0.0,76.21849467031801,75.83929817942088,1.0049259384477114,0.0,0.0,1061.965261610521,1005.4898718609472,1094.6207,1065.1420111562988,1065.3331,0.66,129.340475804176,0.0,1.1182312355697788,1065.1420111562988,1191.075067192587,1.0,1191.075067192587,Epidemiology upside,Eligible patient pool increases by 12 percent.,125.93305603628824,0.11823123556977871
Therapy C,North,130,142,12,1694.2109291175475,epidemiology_change,0,0.76,246.44428023912343,172.5109961673864,0.0,131.10835708721365,130.45607670369517,1.0049566764147722,0.0,0.0,1649.891471246044,1562.2427278328817,1564.5139,1654.8646640404882,1601.3601,0.76,193.21231570747278,0.0,1.1189653623187246,1654.8646640404882,1851.7362383865193,1.0,1851.7362383865193,Epidemiology upside,Eligible patient pool increases by 12 percent.,196.87157434603114,0.11896536231872461
Therapy C,South,130,142,12,1114.8474169521676,epidemiology_change,0,0.7,165.84798079846558,116.0935865589259,0.0,81.26551059124813,80.86120456840608,1.004930474101472,0.0,0.0,1085.7480970555712,1028.0372130548003,1111.1724,1089.0053231356242,1082.2024,0.7,130.02481694599703,0.0,1.1183395651662673,1089.0053231356242,1217.8777395392444,1.0,1217.8777395392444,Epidemiology upside,Eligible patient pool increases by 12 percent.,128.87241640362026,0.11833956516626738
